jira_key,priority,squad,ticket_name,creation_date
AERIS-6249,medium,Forge,"Webhook processing times out after 30 seconds for read-only users, blocking release verification",2023-02-23T03:25:57.442Z
AERIS-6247,medium,Orbit,"Report scheduler creates duplicate notifications when reconnecting after offline mode, affecting customer reporting",2023-02-26T19:04:02.066Z
AERIS-5925,medium,Forge,"Dashboard filters emits malformed timestamps on dashboards with large datasets, affecting customer reporting",2023-02-28T19:24:17.682Z
AERIS-5997,low,Horizon,"Release notes sync locks up under heavy load during peak traffic, breaking audit requirements",2023-03-02T10:03:59.455Z
AERIS-6156,low,Orbit,"Dashboard filters returns a 500 error after timezone changes, blocking release verification",2023-03-03T03:43:29.876Z
AERIS-6326,medium,Horizon,"Report scheduler does not persist settings for read-only users, impacting executive dashboard confidence",2023-03-03T09:25:28.161Z
AERIS-6279,low,Horizon,"Webhook processing rejects valid payloads after enabling feature flags, blocking release verification",2023-03-04T01:51:51.143Z
AERIS-6264,medium,Horizon,"Webhook processing emits malformed timestamps on mobile portrait mode, causing inaccurate KPIs",2023-03-04T22:53:02.335Z
AERIS-6211,medium,Forge,"Bug trend chart rejects valid payloads on mobile portrait mode, blocking release verification",2023-03-05T10:21:57.111Z
AERIS-6200,low,Forge,"Alert routing renders blank state unexpectedly when switching squads, slowing engineering triage",2023-03-05T10:47:21.400Z
AERIS-6372,low,Forge,"PR analytics panel resets pagination unexpectedly after toggling date level, creating noisy support alerts",2023-03-05T11:11:01.453Z
AERIS-6186,high,Horizon,"Mobile layout shows stale data on dashboards with large datasets, creating noisy support alerts",2023-03-06T02:20:20.693Z
AERIS-6119,low,Forge,"Webhook processing times out after 30 seconds when using Safari, blocking release verification",2023-03-08T20:20:47.765Z
AERIS-6159,low,Forge,"PR analytics panel rejects valid payloads after toggling date level, affecting customer reporting",2023-03-12T06:45:32.560Z
AERIS-6244,low,Horizon,"Dashboard filters rejects valid payloads for repositories with archived branches, affecting customer reporting",2023-03-15T13:21:12.619Z
AERIS-6266,medium,Forge,"PR analytics panel drops user-selected filters after enabling feature flags, breaking audit requirements",2023-03-17T19:01:02.342Z
AERIS-6128,low,Horizon,"Audit trail ignores retry backoff on dashboards with large datasets, slowing engineering triage",2023-03-17T21:21:16.210Z
AERIS-6252,low,Forge,"Audit trail duplicates records when API latency spikes, breaking audit requirements",2023-03-21T14:40:34.921Z
AERIS-6302,medium,Forge,"SAML login fails silently when reconnecting after offline mode, slowing engineering triage",2023-03-21T23:04:48.232Z
AERIS-6321,low,Orbit,"Webhook processing drops user-selected filters when using Safari, causing inaccurate KPIs",2023-03-22T09:14:41.237Z
AERIS-6188,low,Forge,"Webhook processing shows stale data when switching squads, blocking release verification",2023-03-24T05:21:46.844Z
AERIS-6179,medium,Orbit,"CSV export loads with incorrect totals when API latency spikes, affecting customer reporting",2023-03-25T01:22:33.739Z
